Time_s,Predicted_THD,ModeCode,FilterMode
0,0.0139710757011988,0,OFF
0.25,0.0228483093801312,0,OFF
0.5,0.080357503292901,2,HYBRID
0.75,0.941500576251445,2,HYBRID
1,0.0417651923370069,0,OFF
1.25,0.18565993322521,2,HYBRID
1.5,0.0118133122254212,0,OFF
1.75,0.0272980474070105,0,OFF
2,0.0601714109240343,1,APF
2.25,0.0284582505673737,0,OFF
2.5,0.0323318074391944,0,OFF
2.75,0.0617207568806675,1,APF
3,0.224940791975517,2,HYBRID
3.25,0.0398168381633726,0,OFF
3.5,0.0745058665042393,2,HYBRID
3.75,0.218071975736012,2,HYBRID
4,0.0457170971419435,1,APF
4.25,0.103283553864071,2,HYBRID
4.5,0.0778370273882771,2,HYBRID
4.75,0.473555236406134,2,HYBRID
5,0.0511083235552447,1,APF
5.25,0.0262872702221483,0,OFF
5.5,0.0481172905184825,1,APF
5.75,0.0275246837737685,0,OFF
6,0.0213234622641563,0,OFF
6.25,0.058584336461981,1,APF
6.5,0.0330868434646871,0,OFF
6.75,0.0350486831498237,0,OFF
7,0.0517074917929726,1,APF
7.25,0.0794238729848328,2,HYBRID
7.5,0.0351282315533288,0,OFF
7.75,0.141027723063673,2,HYBRID
8,0.043787547051661,0,OFF
8.25,0.0811595982915408,2,HYBRID
8.5,0.0737084874747045,2,HYBRID
8.75,0.269832503903908,2,HYBRID
9,0.0482177220853119,1,APF
9.25,0.0753678767030957,2,HYBRID
9.5,0.218431223316535,2,HYBRID
9.75,0.0530049944866901,1,APF
10,0.085027859023168,2,HYBRID
10.25,0.0522557375562879,1,APF
10.5,0.0315186042093421,0,OFF
10.75,0.0321576098199076,0,OFF
11,0.0491121587640838,1,APF
11.25,0.0613496982420867,1,APF
11.5,0.0337680789906717,0,OFF
11.75,0.052598581734787,1,APF
12,0.0686311259172769,1,APF
12.25,0.0387030846829788,0,OFF
12.5,0.0573696924163077,1,APF
12.75,0.0712150509609728,1,APF
13,0.163194235087654,2,HYBRID
13.25,0.0505026470374383,1,APF
13.5,0.0800879876921247,2,HYBRID
13.75,0.0810674569283668,2,HYBRID
14,0.049877577853213,1,APF
14.25,0.0593287317181707,1,APF
14.5,0.036567778525907,0,OFF
14.75,0.054943661810001,1,APF
15,0.057930499181428,1,APF
15.25,0.0769658859139744,2,HYBRID
